Episode_reward,episode
-268.43234207129393,903
-134.94748886024055,904
-3.561368440349063,905
-269.0690765671258,906
-3.7574911893235594,907
-411.6410970138961,908
-448.79888303813505,909
-687.4298394076347,910
-443.21777503110826,911
-4.29535197204481,912
-465.5747426895258,913
-268.30436330071666,914
-130.16750861120164,915
-257.6342703934387,916
-5.049090368459385,917
-5.3932129946318454,918
-275.445674099593,919
-265.9595358281853,920
-511.4614452705677,921
-273.4488546428298,922
-391.39146730651953,923
-132.72036097704634,924
-131.55177488856228,925
-136.0992494007178,926
-267.56452624648546,927
-4.371184325015422,928
-4.565721933621111,929
-4.674460659297859,930
-517.8856753710986,931
-413.45465081641686,932
-390.25598993877117,933
-263.96030387341665,934
-417.8961437832366,935
-136.48775699990074,936
-448.0022289517615,937
-5.603592644433703,938
-267.5567854439665,939
-4.867449906615465,940
-141.69471424962785,941
-139.56812340065056,942
-441.44775388364496,943
-387.9900799517474,944
-274.42404221952546,945
-475.52095215826336,946
-3.99564273378651,947
-410.302953976846,948
-138.31342888652594,949
-390.5958583783888,950
-402.5777507175182,951
-486.11601105917185,952
-3.313305080130222,953
-277.90384979400005,954
-420.8001956907993,955
-3.488641265910626,956
-390.7156671616855,957
-644.615260478683,958
-134.33064543152432,959
-3.5679845633150578,960
-545.0406411918901,961
-590.4013886325864,962
-132.95410084112024,963
-267.43302227003255,964
-401.4782694928446,965
-542.4413959428059,966
-267.266488341028,967
-273.9666631235666,968
-129.97656382742247,969
-382.86667879352433,970
-132.10886586517077,971
-487.03544751745636,972
-265.8180387226017,973
-557.782148396507,974
-438.79170965592795,975
-131.26225218994483,976
-131.63790458977772,977
-131.66951920627508,978
-275.780275837175,979
-392.3742321726265,980
-132.91123699478314,981
-1.8899226623661962,982
-125.86713417720703,983
-386.78524955307705,984
-263.5119139434558,985
-264.8935457442949,986
-129.6201111530344,987
-270.40201848156346,988
-551.027255331022,989
-268.94508202985685,990
-268.07808675804654,991
-3.39025817554275,992
-675.818545839607,993
-1.870275555996001,994
-558.2524650547359,995
-129.69524060101458,996
-681.0008154753771,997
-661.4876096124401,998
-265.40732207607306,999
